entry_date,entry_price,short_strike,long_strike,hist_vol,credit,max_profit,max_loss,breakeven,credit_width_ratio,days_held,pnl,r_multiple,is_win,exit_reason
2022-04-05,351.71,341.0,336.0,0.3112,1.33,133.33,366.67,339.67,0.267,1,66.67,0.182,True,50%_profit
2022-04-06,344.08,333.0,328.0,0.3042,1.26,125.51,374.49,331.74,0.251,1,62.76,0.168,True,50%_profit
2022-04-07,344.9,334.0,329.0,0.2997,1.26,125.52,374.48,332.74,0.251,1,62.76,0.168,True,50%_profit
2022-11-21,275.59,267.0,262.0,0.3868,1.5,149.97,350.03,265.5,0.3,1,74.98,0.214,True,50%_profit
2022-11-22,279.55,271.0,266.0,0.3831,1.51,150.62,349.38,269.49,0.301,1,75.31,0.216,True,50%_profit
2022-11-23,282.36,273.0,268.0,0.3748,1.42,142.37,357.63,271.58,0.285,1,71.19,0.199,True,50%_profit
2022-11-25,280.5,272.0,267.0,0.3686,1.47,147.39,352.61,270.53,0.295,1,73.69,0.209,True,50%_profit
2022-11-28,276.39,268.0,263.0,0.3582,1.44,143.95,356.05,266.56,0.288,1,71.97,0.202,True,50%_profit
2022-11-29,274.3,266.0,261.0,0.3566,1.44,143.58,356.42,264.56,0.287,1,71.79,0.201,True,50%_profit
2022-11-30,286.8,278.0,273.0,0.3876,1.52,152.16,347.84,276.48,0.304,1,76.08,0.219,True,50%_profit
2022-12-01,287.15,278.0,273.0,0.3613,1.42,141.91,358.09,276.58,0.284,1,70.95,0.198,True,50%_profit
2022-12-02,286.01,277.0,272.0,0.3513,1.4,139.7,360.3,275.6,0.279,1,69.85,0.194,True,50%_profit
2022-12-05,281.21,272.0,267.0,0.3581,1.38,138.32,361.68,270.62,0.277,1,69.16,0.191,True,50%_profit
2026-06-15,743.18,720.0,715.0,0.2809,1.3,130.48,369.52,718.7,0.261,1,65.24,0.177,True,50%_profit
2026-06-16,729.06,707.0,702.0,0.2904,1.37,136.8,363.2,705.63,0.274,1,68.4,0.188,True,50%_profit
2026-06-18,739.81,717.0,712.0,0.2994,1.39,138.56,361.44,715.61,0.277,1,69.28,0.192,True,50%_profit
2026-06-22,737.95,715.0,710.0,0.2998,1.38,137.89,362.11,713.62,0.276,5,68.94,0.19,True,50%_profit
2026-06-29,724.08,702.0,697.0,0.3336,1.51,150.68,349.32,700.49,0.301,1,75.34,0.216,True,50%_profit
2026-06-30,736.4,714.0,709.0,0.3388,1.53,152.6,347.4,712.47,0.305,1,76.3,0.22,True,50%_profit
2026-07-01,725.17,703.0,698.0,0.3424,1.53,153.11,346.89,701.47,0.306,1,76.56,0.221,True,50%_profit
2026-07-06,722.82,701.0,696.0,0.3517,1.57,156.76,343.24,699.43,0.314,1,78.38,0.228,True,50%_profit
2026-07-09,723.28,701.0,696.0,0.3102,1.42,142.22,357.78,699.58,0.284,1,71.11,0.199,True,50%_profit
