代码,名称,旧_结论,新_层級,主结论,三燈,一句话,现价,掛單,止蝕,离入場,离入場%,阻擋,适合度,财报天
MU,"Micron Technology, Inc.",观望,觀察,暫緩觀望,紅/紅/紅,週末（ET Sun 11:11），非操作時段,1015.8,958.6135,927.14,高出 3.1%,3.107895254971445,位置紅 · 勝率紅 · 劃算紅 · 財報10天 · IV事件,52.0,10
SNDK,Sandisk Corporation,观望,觀察,暫緩觀望,紅/紅/紅,週末（ET Sun 11:11），非操作時段,1791.8199,1739.3595,1581.99,已在區內,0.0,位置紅 · 勝率紅 · 劃算紅 · IV事件,52.0,47
AAPL,Apple Inc.,观望,觀察,暫緩觀望,紅/紅/紅,週末（ET Sun 11:11），非操作時段,336.13,321.4167,322.98,高出 2.8%,2.762651355130448,位置紅 · 勝率紅 · 劃算紅,52.0,39
MSFT,Microsoft Corporation,观望,觀察,暫緩觀望,紅/紅/紅,週末（ET Sun 11:11），非操作時段,493.78,461.7547,476.94,高出 3.9%,3.856960589736317,位置紅 · 勝率紅 · 劃算紅,25.4,38
NVDA,NVIDIA Corporation,观望,觀察,暫緩觀望,紅/紅/紅,週末（ET Sun 11:11），非操作時段,222.27,215.2724,213.59,高出 1.6%,1.5985513114680345,位置紅 · 勝率紅 · 劃算紅,52.0,58
GOOGL,Alphabet Inc.,观望,觀察,暫緩觀望,紅/紅/紅,週末（ET Sun 11:11），非操作時段,349.54,345.76,334.96,已在區內,0.0,位置紅 · 勝率紅 · 劃算紅 · 逆勢,52.0,38
AMZN,"Amazon.com, Inc.",观望,觀察,暫緩觀望,紅/紅/紅,週末（ET Sun 11:11），非操作時段,253.71,251.1372,243.39,已在區內,0.0,位置紅 · 勝率紅 · 劃算紅 · 逆勢,29.7,39
META,"Meta Platforms, Inc.",观望,觀察,暫緩觀望,紅/紅/紅,週末（ET Sun 11:11），非操作時段,665.75,632.1699,627.52,高出 3.2%,3.1775741644761624,位置紅 · 勝率紅 · 劃算紅 · 逆勢,52.0,38
TSLA,"Tesla, Inc.",观望,觀察,暫緩觀望,紅/紅/紅,週末（ET Sun 11:11），非操作時段,364.27,359.336,340.55,已在區內,0.0,位置紅 · 勝率紅 · 劃算紅 · 逆勢,50.0,31
AMD,"Advanced Micro Devices, Inc.",观望,觀察,暫緩觀望,紅/紅/紅,週末（ET Sun 11:11），非操作時段,559.82,532.0276,516.61,高出 2.8%,2.7627987567432495,位置紅 · 勝率紅 · 劃算紅 · IV事件,52.0,44
QCOM,QUALCOMM Incorporated,观望,觀察,暫緩觀望,紅/紅/紅,週末（ET Sun 11:11），非操作時段,177.72,172.8777,165.27,高出 1.0%,0.9678145397254102,位置紅 · 勝率紅 · 劃算紅 · IV事件,50.0,39
ORCL,Oracle Corporation,观望,觀察,暫緩觀望,紅/紅/紅,週末（ET Sun 11:12），非操作時段,147.61,144.1675,137.85,已在區內,0.0,位置紅 · 勝率紅 · 劃算紅 · IV事件,0.0,81
VRT,"Vertiv Holdings, LLC",观望,觀察,暫緩觀望,紅/紅/紅,週末（ET Sun 11:12），非操作時段,249.39,258.7886,236.5622,差 1.8%,1.797104936043956,位置紅 · 勝率紅 · 劃算紅 · IV事件 · 逆勢,0.0,31
