label,n,wr,wr_decided,avg_r,win,loss,timeout,coverage_pct
opp=可关注,89,46.07,47.67,0.008,41,45,3,14.7
opp=观望,40,42.5,44.74,0.002,17,21,2,6.6
opp=较佳入场,478,43.51,44.35,0.038,208,261,9,78.7
bias=中性,76,47.37,47.37,0.006,36,40,0,12.5
bias=强烈看多,154,41.56,43.24,0.038,64,84,6,25.4
bias=看多,377,44.03,44.99,0.033,166,203,8,62.1
bias_score<=-18,0,,,,0,0,0,
bias_-18_18,76,47.37,47.37,0.006,36,40,0,12.5
bias_18_45,388,43.81,44.85,0.028,170,209,9,63.9
bias>=45,143,41.96,43.48,0.053,60,78,5,23.6
rr_1.0_1.2,156,48.08,49.02,-0.048,75,78,3,25.7
rr_1.2_1.5,176,46.02,46.82,0.013,81,92,3,29.0
rr_1.5_2.0,199,42.71,43.81,0.105,85,109,5,32.8
rr>=2.0,76,32.89,34.25,0.045,25,48,3,12.5
in_zone,293,46.42,47.39,0.001,136,151,6,48.3
not_above_zone,293,46.42,47.39,0.001,136,151,6,48.3
chase<=1pct,414,45.65,46.55,0.003,189,217,8,68.2
chase>1pct,193,39.9,41.18,0.091,77,110,6,31.8
tier=strong,235,53.19,54.35,0.303,125,105,5,38.7
tier=mid,119,43.7,45.61,0.058,52,62,5,19.6
tier=weak,253,35.18,35.74,-0.235,89,160,4,41.7
dow=Mon,116,38.79,39.82,-0.103,45,68,3,19.1
dow=Tue,134,39.55,40.46,-0.068,53,78,3,22.1
dow=Wed,127,45.67,46.77,0.129,58,66,3,20.9
dow=Thu,127,49.61,50.0,0.116,63,63,1,20.9
dow=Fri,103,45.63,47.47,0.087,47,52,4,17.0
only_较佳入场,478,43.51,44.35,0.038,208,261,9,78.7
较佳入场+bias_bullishish,438,42.92,43.82,0.038,188,241,9,72.2
较佳入场+rr>=1.5,240,39.58,40.95,0.094,95,137,8,39.5
较佳入场+in_zone,164,47.56,47.85,-0.003,78,85,1,27.0
exclude_不宜族_already,607,43.82,44.86,0.031,266,327,14,100.0
rr>=1.5,275,40.0,41.2,0.088,110,157,8,45.3
rr>=1.5+bias>=18,257,39.3,40.56,0.076,101,148,8,42.3
rr>=1.5+in_zone,62,48.39,48.39,0.176,30,32,0,10.2
bias>=18+in_zone,230,45.65,46.88,-0.009,105,119,6,37.9
strong_tier_only,235,53.19,54.35,0.303,125,105,5,38.7
strong+较佳入场,191,52.36,53.19,0.3,100,88,3,31.5
strong+rr>=1.5,123,51.22,52.5,0.407,63,57,3,20.3
strong+bias>=18+rr>=1.2,167,51.5,52.76,0.335,86,77,4,27.5
exclude_weak_tier,354,50.0,51.45,0.221,177,167,10,58.3
exclude_weak+rr>=1.5,162,49.38,50.96,0.375,80,77,5,26.7
exclude_weak+较佳入场,276,50.72,51.66,0.25,140,131,5,45.5
no_timeout_focus_decided_baseline,593,44.86,44.86,0.022,266,327,0,97.7
