symbol,tier,entry_date,result,win,r_mult,hold_days,opportunity,bias,bias_score,rr,chase_pct,in_zone,risk_pct,dow,month
MU,strong,2025-01-10,win,1,1.046,5,可关注,看多,45.0,1.0920379839298773,-1.021054719222414,True,7.003031556384376,4,1
MU,strong,2025-02-27,loss,0,-1.061,1,观望,看多,25.0,1.3432343234323436,-0.9515077764267077,True,4.663238777211659,3,2
MU,strong,2025-03-17,loss,0,-1.058,4,较佳入场,看多,35.0,1.6188068756319556,2.5672995991794068,False,4.911986593350546,0,3
MU,strong,2025-06-02,win,1,1.779,1,较佳入场,看多,19.0,1.8700906344410857,0.7699976630389349,False,3.5085993900898353,0,6
MU,strong,2025-07-02,loss,0,-1.095,9,较佳入场,看多,29.0,1.9024390243902478,1.0752483665293688,False,3.0700426065783883,2,7
MU,strong,2025-08-21,win,1,1.417,9,较佳入场,看多,23.0,1.5029103608847487,-0.8286686266882892,True,3.67683232738594,3,8
MU,strong,2025-10-13,win,1,2.555,5,较佳入场,看多,39.0,2.6536934074662337,2.9522932288784887,False,3.302666830189349,0,10
MU,strong,2025-11-05,win,1,2.138,1,较佳入场,看多,27.0,2.220472440944876,2.5551697579114574,False,3.943233891107017,2,11
MU,strong,2025-11-12,loss,0,-1.037,4,较佳入场,强烈看多,59.0,1.073384446878423,-1.0010380215985992,True,7.463398029272891,2,11
MU,strong,2025-12-02,loss,0,-1.053,2,较佳入场,看多,25.0,1.1714507370054315,0.32366730520136944,False,5.404234115441896,1,12
MU,strong,2025-12-09,win,1,1.124,1,较佳入场,强烈看多,47.0,1.1882449650637092,2.808498348545463,False,4.980530661974269,1,12
MU,strong,2025-12-15,loss,0,-1.057,1,较佳入场,看多,35.0,1.4625905068382976,-0.48153099923317066,True,5.035068798711798,0,12
MU,strong,2025-12-19,win,1,1.863,1,较佳入场,强烈看多,51.0,1.9231324431613097,2.2260657255911642,False,5.508859562994877,4,12
MU,strong,2026-02-12,loss,0,-1.051,1,较佳入场,看多,33.0,1.3149135907830223,1.177957283648512,False,5.55321498219674,3,2
MU,strong,2026-02-19,loss,0,-1.05,8,较佳入场,强烈看多,73.0,1.315945089757126,0.6744734568681299,False,5.696974329646513,3,2
MU,strong,2026-03-12,win,1,0.947,2,较佳入场,看多,33.0,1.0043985045084707,-0.5774023233314662,True,5.5483049404910725,3,3
MU,strong,2026-03-23,loss,0,-1.052,1,较佳入场,中性,15.0,1.2720825274016783,-1.5381331435566414,True,5.4624790481880705,0,3
MU,strong,2026-04-10,win,1,1.463,2,较佳入场,看多,31.0,1.5194592380172034,2.7438968355365745,False,5.808787546316509,4,4
MU,strong,2026-06-05,win,1,1.069,6,可关注,强烈看多,59.0,1.1033611599297009,-1.2046882614937915,True,9.64146554119043,4,6
MU,strong,2026-06-24,win,1,1.136,1,较佳入场,看多,39.0,1.1815260011570339,0.5227098062579927,False,7.188646193680781,2,6
MU,strong,2026-08-19,timeout,0,-0.04,10,观望,看多,25.0,1.2580882804346474,-1.5302801225036133,True,8.489513972187833,2,8
SNDK,strong,2025-05-23,win,1,1.369,7,观望,看多,21.0,1.419913419913419,-1.3555783300628454,True,6.372413793103454,4,5
SNDK,strong,2025-06-06,win,1,1.601,1,可关注,中性,15.0,1.7053941908713615,-1.1622058315190364,True,3.032972599757997,4,6
SNDK,strong,2025-06-11,loss,0,-1.059,1,较佳入场,强烈看多,47.0,1.5707317073170783,2.5900349101822595,False,4.837187230611758,2,6
SNDK,strong,2025-07-01,loss,0,-1.065,8,较佳入场,看多,39.0,2.0544554455445505,2.2547879912538704,False,4.420131217236495,1,7
SNDK,strong,2025-08-11,loss,0,-1.076,4,较佳入场,强烈看多,59.0,1.7999999999999967,2.5202315666772,False,3.774617004818291,0,8
SNDK,strong,2025-08-19,loss,0,-1.066,1,较佳入场,强烈看多,63.0,2.074626865671645,2.384166571668178,False,4.347826130008147,1,8
SNDK,strong,2025-08-22,win,1,1.373,3,较佳入场,强烈看多,49.0,1.4478371501272234,1.4719000892060574,False,4.261548414637987,4,8
SNDK,strong,2025-10-13,loss,0,-1.046,1,较佳入场,看多,19.0,1.6262626262626225,2.3192750412299734,False,6.104516467295292,0,10
SNDK,strong,2025-11-05,win,1,0.982,1,较佳入场,强烈看多,59.0,1.0107642626480073,-1.5682666442966786,True,11.504358746910915,2,11
